#    <A>=  0.153177  sigmaA= 0.000483
#    <B>=-16.230694  sigmaB= 0.020037
#  rhoAB= -0.290333
#    a39=  0.000462     b39=  0.020038
#    a95=  0.001130     b95=  0.049042
#  tht39=  0.400918   tht95=  0.400918
#
#       A39       B39         A95       B95
     0.152819 -16.239229   0.152301 -16.251582
     0.152823 -16.239456   0.152311 -16.252138
     0.152827 -16.239681   0.152321 -16.252690
     0.152832 -16.239906   0.152331 -16.253239
     0.152836 -16.240129   0.152342 -16.253785
     0.152840 -16.240350   0.152352 -16.254327
     0.152845 -16.240570   0.152363 -16.254865
     0.152849 -16.240788   0.152374 -16.255399
     0.152853 -16.241005   0.152385 -16.255930
     0.152858 -16.241220   0.152396 -16.256456
     0.152863 -16.241433   0.152407 -16.256978
     0.152867 -16.241645   0.152418 -16.257497
     0.152872 -16.241855   0.152430 -16.258010
     0.152877 -16.242063   0.152441 -16.258520
     0.152881 -16.242270   0.152453 -16.259025
     0.152886 -16.242474   0.152465 -16.259526
     0.152891 -16.242677   0.152476 -16.260022
     0.152896 -16.242878   0.152488 -16.260514
     0.152901 -16.243077   0.152501 -16.261001
     0.152906 -16.243274   0.152513 -16.261483
     0.152911 -16.243469   0.152525 -16.261960
     0.152916 -16.243662   0.152538 -16.262432
     0.152921 -16.243853   0.152550 -16.262900
     0.152926 -16.244042   0.152563 -16.263362
     0.152931 -16.244228   0.152575 -16.263819
     0.152937 -16.244413   0.152588 -16.264271
     0.152942 -16.244595   0.152601 -16.264717
     0.152947 -16.244776   0.152614 -16.265158
     0.152953 -16.244954   0.152627 -16.265594
     0.152958 -16.245129   0.152640 -16.266024
     0.152963 -16.245303   0.152654 -16.266449
     0.152969 -16.245474   0.152667 -16.266868
     0.152974 -16.245643   0.152680 -16.267281
     0.152980 -16.245809   0.152694 -16.267689
     0.152985 -16.245973   0.152708 -16.268090
     0.152991 -16.246135   0.152721 -16.268486
     0.152997 -16.246294   0.152735 -16.268876
     0.153002 -16.246451   0.152749 -16.269259
     0.153008 -16.246605   0.152763 -16.269637
     0.153014 -16.246757   0.152777 -16.270009
     0.153019 -16.246906   0.152791 -16.270374
     0.153025 -16.247053   0.152805 -16.270733
     0.153031 -16.247197   0.152819 -16.271086
     0.153037 -16.247339   0.152833 -16.271432
     0.153042 -16.247478   0.152847 -16.271772
     0.153048 -16.247614   0.152861 -16.272105
     0.153054 -16.247747   0.152876 -16.272432
     0.153060 -16.247878   0.152890 -16.272752
     0.153066 -16.248006   0.152905 -16.273066
     0.153072 -16.248132   0.152919 -16.273373
     0.153078 -16.248254   0.152934 -16.273673
     0.153084 -16.248374   0.152948 -16.273966
     0.153090 -16.248491   0.152963 -16.274253
     0.153096 -16.248606   0.152977 -16.274533
     0.153102 -16.248717   0.152992 -16.274805
     0.153108 -16.248826   0.153007 -16.275071
     0.153114 -16.248931   0.153021 -16.275330
     0.153120 -16.249034   0.153036 -16.275582
     0.153126 -16.249134   0.153051 -16.275826
     0.153132 -16.249231   0.153066 -16.276064
     0.153138 -16.249325   0.153080 -16.276294
     0.153144 -16.249417   0.153095 -16.276517
     0.153150 -16.249505   0.153110 -16.276733
     0.153156 -16.249590   0.153125 -16.276942
     0.153162 -16.249672   0.153140 -16.277143
     0.153168 -16.249752   0.153154 -16.277337
     0.153174 -16.249828   0.153169 -16.277524
     0.153180 -16.249901   0.153184 -16.277703
     0.153186 -16.249971   0.153199 -16.277875
     0.153192 -16.250039   0.153214 -16.278040
     0.153198 -16.250103   0.153229 -16.278196
     0.153204 -16.250164   0.153243 -16.278346
     0.153210 -16.250222   0.153258 -16.278488
     0.153216 -16.250277   0.153273 -16.278622
     0.153223 -16.250328   0.153288 -16.278749
     0.153229 -16.250377   0.153303 -16.278868
     0.153235 -16.250423   0.153317 -16.278980
     0.153241 -16.250465   0.153332 -16.279084
     0.153247 -16.250504   0.153347 -16.279180
     0.153253 -16.250541   0.153362 -16.279268
     0.153259 -16.250574   0.153376 -16.279349
     0.153265 -16.250604   0.153391 -16.279423
     0.153271 -16.250630   0.153405 -16.279488
     0.153276 -16.250654   0.153420 -16.279546
     0.153282 -16.250675   0.153434 -16.279596
     0.153288 -16.250692   0.153449 -16.279639
     0.153294 -16.250706   0.153463 -16.279674
     0.153300 -16.250717   0.153478 -16.279701
     0.153306 -16.250725   0.153492 -16.279720
     0.153312 -16.250730   0.153506 -16.279731
     0.153318 -16.250731   0.153521 -16.279735
     0.153323 -16.250730   0.153535 -16.279731
     0.153329 -16.250725   0.153549 -16.279719
     0.153335 -16.250717   0.153563 -16.279700
     0.153341 -16.250706   0.153577 -16.279673
     0.153346 -16.250692   0.153591 -16.279638
     0.153352 -16.250674   0.153605 -16.279595
     0.153358 -16.250654   0.153619 -16.279545
     0.153363 -16.250630   0.153632 -16.279487
     0.153369 -16.250603   0.153646 -16.279421
     0.153374 -16.250573   0.153660 -16.279347
     0.153380 -16.250540   0.153673 -16.279266
     0.153385 -16.250503   0.153686 -16.279177
     0.153391 -16.250464   0.153700 -16.279081
     0.153396 -16.250421   0.153713 -16.278977
     0.153402 -16.250376   0.153726 -16.278865
     0.153407 -16.250327   0.153739 -16.278746
     0.153412 -16.250275   0.153752 -16.278619
     0.153418 -16.250220   0.153765 -16.278484
     0.153423 -16.250162   0.153778 -16.278342
     0.153428 -16.250101   0.153791 -16.278192
     0.153433 -16.250037   0.153804 -16.278035
     0.153438 -16.249970   0.153816 -16.277871
     0.153443 -16.249899   0.153828 -16.277699
     0.153448 -16.249826   0.153841 -16.277519
     0.153453 -16.249750   0.153853 -16.277332
     0.153458 -16.249670   0.153865 -16.277138
     0.153463 -16.249588   0.153877 -16.276937
     0.153468 -16.249503   0.153889 -16.276728
     0.153473 -16.249414   0.153901 -16.276512
     0.153478 -16.249323   0.153913 -16.276288
     0.153482 -16.249229   0.153924 -16.276058
     0.153487 -16.249132   0.153936 -16.275820
     0.153492 -16.249032   0.153947 -16.275575
     0.153496 -16.248929   0.153958 -16.275323
     0.153501 -16.248823   0.153969 -16.275064
     0.153505 -16.248714   0.153980 -16.274798
     0.153510 -16.248603   0.153991 -16.274525
