#rho0,E/A
1.564849280937464504e-01,-1.575113055730803246e+01
1.565755705589454982e-01,-1.572770813642305754e+01
1.562506429082975434e-01,-1.578451655100301565e+01
1.558016115936053936e-01,-1.576752887488170174e+01
1.555091233291498731e-01,-1.572288543607035649e+01
1.556960196152474274e-01,-1.574667309543085914e+01
1.561418526294766074e-01,-1.579533539421084853e+01
1.559927721664037814e-01,-1.573801528332038657e+01
1.560742080906599438e-01,-1.572713392970113411e+01
1.562947966624032847e-01,-1.572970362461583171e+01
1.552005204710585895e-01,-1.575840641612474613e+01
1.550276129534120251e-01,-1.573254918560898652e+01
1.567796359323709032e-01,-1.576035186148990519e+01
1.557813904919086168e-01,-1.573709697134926699e+01
1.562664793294417376e-01,-1.572655626077369995e+01
1.564728099895430491e-01,-1.573615436202903339e+01
1.571607660098034431e-01,-1.574623477685764783e+01
1.569654751066128506e-01,-1.579884329026261724e+01
1.565427634440660076e-01,-1.576072947140232650e+01
1.559745518699870992e-01,-1.577768224653098983e+01
1.579141676044353015e-01,-1.572927327922492502e+01
1.550058581472152086e-01,-1.572537966776670437e+01
1.559916257802549944e-01,-1.573714970979769490e+01
1.553067814119592494e-01,-1.575573957298061600e+01
1.559370559053058214e-01,-1.578021793598292533e+01
1.561433875166056973e-01,-1.572004538755296466e+01
1.566420381523333794e-01,-1.571529869670570179e+01
1.550708114769679957e-01,-1.570325837395909119e+01
1.561455761464441705e-01,-1.573835615392387943e+01
1.569078333334653075e-01,-1.573105699491029341e+01
1.567153856976642168e-01,-1.569836719721833873e+01
1.561794148739300836e-01,-1.574552255878737483e+01
1.568366520394224861e-01,-1.577007904301510344e+01
1.561375089946743511e-01,-1.569633878832051188e+01
1.567096419587370171e-01,-1.573908413229930225e+01
1.565874641518043009e-01,-1.572321372706223741e+01
1.561509729459268081e-01,-1.573611468426970106e+01
1.559913867900216133e-01,-1.574548943548411017e+01
1.552212537839805784e-01,-1.576396975569504733e+01
1.550338526993227106e-01,-1.574618692954207866e+01
1.556529691740627663e-01,-1.577499414861464544e+01
1.559717553110730459e-01,-1.571757412296715728e+01
