#    <A>=  0.153179  sigmaA= 0.000488
#    <B>=-16.230452  sigmaB= 0.020383
#  rhoAB= -0.308590
#    a39=  0.000464     b39=  0.020384
#    a95=  0.001135     b95=  0.049890
#  tht39=  0.423243   tht95=  0.423243
#
#       A39       B39         A95       B95
     0.152746 -16.233771   0.152119 -16.238574
     0.152749 -16.234023   0.152126 -16.239192
     0.152752 -16.234275   0.152133 -16.239808
     0.152755 -16.234526   0.152141 -16.240424
     0.152758 -16.234777   0.152148 -16.241037
     0.152761 -16.235027   0.152156 -16.241649
     0.152764 -16.235276   0.152163 -16.242259
     0.152768 -16.235525   0.152171 -16.242867
     0.152771 -16.235772   0.152180 -16.243473
     0.152774 -16.236019   0.152188 -16.244077
     0.152778 -16.236265   0.152196 -16.244679
     0.152781 -16.236510   0.152205 -16.245279
     0.152785 -16.236754   0.152214 -16.245876
     0.152788 -16.236997   0.152222 -16.246471
     0.152792 -16.237239   0.152231 -16.247064
     0.152796 -16.237480   0.152241 -16.247654
     0.152800 -16.237720   0.152250 -16.248241
     0.152804 -16.237959   0.152259 -16.248825
     0.152807 -16.238196   0.152269 -16.249406
     0.152811 -16.238433   0.152279 -16.249985
     0.152816 -16.238668   0.152289 -16.250560
     0.152820 -16.238902   0.152299 -16.251132
     0.152824 -16.239134   0.152309 -16.251701
     0.152828 -16.239365   0.152319 -16.252267
     0.152832 -16.239595   0.152330 -16.252829
     0.152837 -16.239823   0.152340 -16.253387
     0.152841 -16.240050   0.152351 -16.253942
     0.152845 -16.240275   0.152362 -16.254493
     0.152850 -16.240499   0.152373 -16.255041
     0.152854 -16.240721   0.152384 -16.255584
     0.152859 -16.240941   0.152395 -16.256124
     0.152864 -16.241160   0.152407 -16.256659
     0.152868 -16.241377   0.152418 -16.257191
     0.152873 -16.241592   0.152430 -16.257718
     0.152878 -16.241806   0.152442 -16.258241
     0.152883 -16.242018   0.152453 -16.258759
     0.152888 -16.242228   0.152465 -16.259273
     0.152893 -16.242436   0.152478 -16.259782
     0.152898 -16.242642   0.152490 -16.260287
     0.152903 -16.242847   0.152502 -16.260787
     0.152908 -16.243049   0.152514 -16.261283
     0.152913 -16.243249   0.152527 -16.261773
     0.152918 -16.243448   0.152540 -16.262259
     0.152923 -16.243644   0.152552 -16.262739
     0.152928 -16.243838   0.152565 -16.263214
     0.152934 -16.244030   0.152578 -16.263685
     0.152939 -16.244220   0.152591 -16.264149
     0.152944 -16.244408   0.152604 -16.264609
     0.152950 -16.244594   0.152617 -16.265063
     0.152955 -16.244777   0.152631 -16.265512
     0.152961 -16.244958   0.152644 -16.265955
     0.152966 -16.245137   0.152657 -16.266393
     0.152972 -16.245313   0.152671 -16.266825
     0.152977 -16.245487   0.152684 -16.267251
     0.152983 -16.245659   0.152698 -16.267671
     0.152988 -16.245829   0.152712 -16.268086
     0.152994 -16.245995   0.152726 -16.268494
     0.153000 -16.246160   0.152740 -16.268897
     0.153005 -16.246322   0.152754 -16.269293
     0.153011 -16.246481   0.152768 -16.269684
     0.153017 -16.246638   0.152782 -16.270068
     0.153023 -16.246793   0.152796 -16.270446
     0.153029 -16.246945   0.152810 -16.270817
     0.153034 -16.247094   0.152825 -16.271183
     0.153040 -16.247240   0.152839 -16.271541
     0.153046 -16.247384   0.152853 -16.271894
     0.153052 -16.247526   0.152868 -16.272239
     0.153058 -16.247664   0.152882 -16.272579
     0.153064 -16.247800   0.152897 -16.272911
     0.153070 -16.247933   0.152911 -16.273237
     0.153076 -16.248064   0.152926 -16.273556
     0.153082 -16.248191   0.152941 -16.273868
     0.153088 -16.248316   0.152955 -16.274174
     0.153094 -16.248438   0.152970 -16.274472
     0.153100 -16.248557   0.152985 -16.274764
     0.153106 -16.248673   0.153000 -16.275048
     0.153112 -16.248787   0.153015 -16.275326
     0.153118 -16.248897   0.153029 -16.275596
     0.153124 -16.249005   0.153044 -16.275859
     0.153130 -16.249109   0.153059 -16.276115
     0.153136 -16.249211   0.153074 -16.276364
     0.153143 -16.249310   0.153089 -16.276606
     0.153149 -16.249405   0.153104 -16.276840
     0.153155 -16.249498   0.153119 -16.277067
     0.153161 -16.249588   0.153134 -16.277287
     0.153167 -16.249675   0.153149 -16.277499
     0.153173 -16.249758   0.153164 -16.277704
     0.153179 -16.249839   0.153179 -16.277901
