#    <A>=  0.150609  sigmaA= 0.000690
#    <B>=-16.280374  sigmaB= 0.020707
#  rhoAB= -0.286052
#    a39=  0.000661     b39=  0.020708
#    a95=  0.001619     b95=  0.050683
#  tht39=  0.546922   tht95=  0.546922
#
#       A39       B39         A95       B95
     0.149927 -16.277527   0.148939 -16.273406
     0.149928 -16.277785   0.148943 -16.274038
     0.149930 -16.278044   0.148946 -16.274670
     0.149931 -16.278302   0.148950 -16.275303
     0.149933 -16.278561   0.148954 -16.275937
     0.149935 -16.278821   0.148959 -16.276572
     0.149937 -16.279080   0.148963 -16.277207
     0.149939 -16.279340   0.148968 -16.277843
     0.149941 -16.279600   0.148973 -16.278479
     0.149943 -16.279860   0.148979 -16.279116
     0.149946 -16.280120   0.148985 -16.279753
     0.149948 -16.280381   0.148991 -16.280390
     0.149950 -16.280641   0.148997 -16.281027
     0.149953 -16.280901   0.149003 -16.281663
     0.149956 -16.281161   0.149010 -16.282300
     0.149959 -16.281421   0.149017 -16.282936
     0.149962 -16.281681   0.149024 -16.283572
     0.149965 -16.281940   0.149032 -16.284207
     0.149968 -16.282200   0.149039 -16.284842
     0.149971 -16.282459   0.149047 -16.285476
     0.149974 -16.282717   0.149055 -16.286109
     0.149978 -16.282976   0.149064 -16.286741
     0.149981 -16.283234   0.149073 -16.287373
     0.149985 -16.283491   0.149082 -16.288003
     0.149989 -16.283748   0.149091 -16.288632
     0.149993 -16.284005   0.149100 -16.289260
     0.149997 -16.284261   0.149110 -16.289886
     0.150001 -16.284516   0.149120 -16.290511
     0.150005 -16.284770   0.149130 -16.291134
     0.150009 -16.285024   0.149140 -16.291755
     0.150013 -16.285278   0.149151 -16.292375
     0.150018 -16.285530   0.149162 -16.292993
     0.150022 -16.285782   0.149173 -16.293609
     0.150027 -16.286032   0.149184 -16.294222
     0.150032 -16.286282   0.149196 -16.294834
     0.150037 -16.286531   0.149207 -16.295443
     0.150041 -16.286779   0.149219 -16.296050
     0.150046 -16.287026   0.149231 -16.296654
     0.150051 -16.287272   0.149244 -16.297256
     0.150057 -16.287517   0.149256 -16.297855
     0.150062 -16.287760   0.149269 -16.298452
     0.150067 -16.288003   0.149282 -16.299045
     0.150073 -16.288244   0.149296 -16.299636
     0.150078 -16.288484   0.149309 -16.300223
     0.150084 -16.288723   0.149323 -16.300808
     0.150089 -16.288960   0.149337 -16.301389
     0.150095 -16.289197   0.149351 -16.301967
     0.150101 -16.289431   0.149365 -16.302541
     0.150107 -16.289665   0.149379 -16.303112
     0.150113 -16.289896   0.149394 -16.303680
     0.150119 -16.290127   0.149409 -16.304243
     0.150125 -16.290355   0.149424 -16.304803
     0.150131 -16.290583   0.149439 -16.305359
     0.150137 -16.290808   0.149454 -16.305911
     0.150144 -16.291032   0.149470 -16.306459
     0.150150 -16.291254   0.149486 -16.307003
     0.150157 -16.291475   0.149502 -16.307543
     0.150163 -16.291694   0.149518 -16.308079
     0.150170 -16.291911   0.149534 -16.308610
     0.150177 -16.292126   0.149551 -16.309136
     0.150184 -16.292339   0.149567 -16.309658
     0.150190 -16.292551   0.149584 -16.310176
     0.150197 -16.292760   0.149601 -16.310689
     0.150204 -16.292968   0.149618 -16.311197
     0.150211 -16.293173   0.149635 -16.311700
     0.150219 -16.293377   0.149653 -16.312198
     0.150226 -16.293578   0.149670 -16.312691
     0.150233 -16.293778   0.149688 -16.313179
     0.150240 -16.293975   0.149706 -16.313662
     0.150248 -16.294170   0.149724 -16.314139
     0.150255 -16.294363   0.149742 -16.314612
     0.150263 -16.294554   0.149760 -16.315079
     0.150270 -16.294742   0.149779 -16.315540
     0.150278 -16.294928   0.149797 -16.315996
     0.150285 -16.295112   0.149816 -16.316446
     0.150293 -16.295294   0.149835 -16.316890
     0.150301 -16.295473   0.149854 -16.317329
     0.150308 -16.295650   0.149873 -16.317762
     0.150316 -16.295825   0.149892 -16.318189
     0.150324 -16.295997   0.149911 -16.318610
     0.150332 -16.296166   0.149931 -16.319025
     0.150340 -16.296333   0.149950 -16.319434
     0.150348 -16.296498   0.149970 -16.319837
     0.150356 -16.296660   0.149990 -16.320233
     0.150364 -16.296819   0.150009 -16.320623
     0.150372 -16.296976   0.150029 -16.321007
     0.150380 -16.297130   0.150049 -16.321385
     0.150389 -16.297282   0.150069 -16.321755
     0.150397 -16.297431   0.150089 -16.322120
     0.150405 -16.297577   0.150110 -16.322478
     0.150414 -16.297720   0.150130 -16.322829
     0.150422 -16.297861   0.150150 -16.323173
     0.150430 -16.297999   0.150171 -16.323511
     0.150439 -16.298134   0.150191 -16.323842
     0.150447 -16.298267   0.150212 -16.324166
     0.150455 -16.298396   0.150233 -16.324483
     0.150464 -16.298523   0.150253 -16.324793
     0.150472 -16.298647   0.150274 -16.325096
     0.150481 -16.298768   0.150295 -16.325392
     0.150489 -16.298886   0.150316 -16.325681
     0.150498 -16.299001   0.150337 -16.325963
     0.150507 -16.299113   0.150358 -16.326238
     0.150515 -16.299222   0.150379 -16.326505
     0.150524 -16.299329   0.150400 -16.326765
     0.150532 -16.299432   0.150421 -16.327018
     0.150541 -16.299532   0.150442 -16.327263
     0.150550 -16.299629   0.150463 -16.327501
     0.150558 -16.299724   0.150484 -16.327732
     0.150567 -16.299815   0.150506 -16.327955
     0.150576 -16.299903   0.150527 -16.328170
     0.150584 -16.299988   0.150548 -16.328378
     0.150593 -16.300070   0.150569 -16.328579
     0.150602 -16.300148   0.150590 -16.328772
     0.150610 -16.300224   0.150612 -16.328957
     0.150619 -16.300297   0.150633 -16.329134
     0.150628 -16.300366   0.150654 -16.329304
     0.150636 -16.300432   0.150675 -16.329466
     0.150645 -16.300495   0.150697 -16.329620
     0.150654 -16.300555   0.150718 -16.329767
     0.150662 -16.300612   0.150739 -16.329906
     0.150671 -16.300665   0.150760 -16.330037
     0.150680 -16.300716   0.150781 -16.330160
     0.150688 -16.300763   0.150802 -16.330275
     0.150697 -16.300807   0.150823 -16.330382
     0.150705 -16.300847   0.150844 -16.330482
     0.150714 -16.300885   0.150865 -16.330573
     0.150723 -16.300919   0.150886 -16.330657
     0.150731 -16.300950   0.150907 -16.330732
     0.150740 -16.300977   0.150928 -16.330800
     0.150748 -16.301002   0.150949 -16.330860
     0.150757 -16.301023   0.150970 -16.330912
     0.150765 -16.301041   0.150991 -16.330955
     0.150774 -16.301055   0.151011 -16.330991
     0.150782 -16.301067   0.151032 -16.331019
     0.150790 -16.301075   0.151052 -16.331039
     0.150799 -16.301080   0.151073 -16.331051
     0.150807 -16.301081   0.151093 -16.331055
     0.150815 -16.301079   0.151113 -16.331050
     0.150824 -16.301074   0.151134 -16.331038
     0.150832 -16.301066   0.151154 -16.331018
     0.150840 -16.301055   0.151174 -16.330990
     0.150848 -16.301040   0.151194 -16.330954
     0.150856 -16.301022   0.151214 -16.330909
     0.150864 -16.301001   0.151233 -16.330857
     0.150872 -16.300976   0.151253 -16.330797
