#    <A>=  0.149819  sigmaA= 0.000491
#    <B>=-16.346358  sigmaB= 0.021260
#  rhoAB= -0.411681
#    a39=  0.000447     b39=  0.021261
#    a95=  0.001094     b95=  0.052035
#  tht39=  0.544546   tht95=  0.544546
#
#       A39       B39         A95       B95
     0.149329 -16.336592   0.148620 -16.322454
     0.149329 -16.336830   0.148619 -16.323037
     0.149329 -16.337069   0.148619 -16.323623
     0.149328 -16.337310   0.148618 -16.324213
     0.149328 -16.337553   0.148618 -16.324807
     0.149328 -16.337797   0.148618 -16.325404
     0.149328 -16.338042   0.148618 -16.326004
     0.149329 -16.338288   0.148619 -16.326607
     0.149329 -16.338536   0.148620 -16.327213
     0.149329 -16.338785   0.148620 -16.327823
     0.149330 -16.339035   0.148621 -16.328435
     0.149330 -16.339287   0.148623 -16.329051
     0.149331 -16.339539   0.148624 -16.329669
     0.149331 -16.339793   0.148625 -16.330289
     0.149332 -16.340047   0.148627 -16.330912
     0.149333 -16.340303   0.148629 -16.331538
     0.149334 -16.340560   0.148631 -16.332166
     0.149335 -16.340817   0.148634 -16.332796
     0.149336 -16.341075   0.148636 -16.333428
     0.149337 -16.341335   0.148639 -16.334063
     0.149338 -16.341595   0.148642 -16.334699
     0.149339 -16.341855   0.148645 -16.335337
     0.149341 -16.342117   0.148648 -16.335977
     0.149342 -16.342379   0.148651 -16.336619
     0.149343 -16.342642   0.148655 -16.337262
     0.149345 -16.342905   0.148659 -16.337906
     0.149347 -16.343169   0.148663 -16.338552
     0.149348 -16.343433   0.148667 -16.339199
     0.149350 -16.343698   0.148671 -16.339847
     0.149352 -16.343963   0.148676 -16.340496
     0.149354 -16.344229   0.148681 -16.341147
     0.149356 -16.344495   0.148686 -16.341798
     0.149358 -16.344761   0.148691 -16.342449
     0.149360 -16.345028   0.148696 -16.343102
     0.149362 -16.345294   0.148701 -16.343754
     0.149365 -16.345561   0.148707 -16.344408
     0.149367 -16.345828   0.148713 -16.345061
     0.149369 -16.346095   0.148719 -16.345715
     0.149372 -16.346363   0.148725 -16.346369
     0.149374 -16.346630   0.148731 -16.347023
     0.149377 -16.346897   0.148738 -16.347676
     0.149380 -16.347164   0.148744 -16.348330
     0.149383 -16.347431   0.148751 -16.348983
     0.149385 -16.347698   0.148758 -16.349636
     0.149388 -16.347964   0.148765 -16.350288
     0.149391 -16.348230   0.148772 -16.350940
     0.149394 -16.348496   0.148780 -16.351591
     0.149398 -16.348762   0.148788 -16.352241
     0.149401 -16.349027   0.148795 -16.352890
     0.149404 -16.349292   0.148803 -16.353538
     0.149407 -16.349556   0.148811 -16.354185
     0.149411 -16.349820   0.148820 -16.354831
     0.149414 -16.350083   0.148828 -16.355476
     0.149418 -16.350346   0.148837 -16.356119
     0.149421 -16.350608   0.148846 -16.356760
     0.149425 -16.350870   0.148854 -16.357400
     0.149429 -16.351130   0.148864 -16.358038
     0.149432 -16.351390   0.148873 -16.358674
     0.149436 -16.351650   0.148882 -16.359308
